Index,pred,opt_pred
0,0.042136120254909884,100
1,0.03979696167099285,100
2,0.03979696167099285,100
3,0.042113536183726465,100
4,0.029107747063811286,100
5,0.039949786638225085,100
6,0.025764349153406835,100
7,0.04280421118194068,100
8,0.04182180213774337,100
9,0.03707265999392628,100
10,0.03810039993699308,100
11,0.028671000422417908,100
12,0.04063122445196676,100
13,0.041655889193001595,100
14,0.026812435132025584,100
15,0.02825769898130777,100
16,0.03429378747126059,100
17,0.027007966017626717,100
18,0.038999880676767185,100
19,0.03672787754056471,100
20,0.027248722713656373,100
21,0.027589631614202415,100
22,0.03916168983266674,100
23,0.039949786638225085,100
24,0.04184278798874973,100
25,0.029808344237903447,100
26,0.024686050521927766,100
27,0.03237904799840659,100
28,0.041655889193001595,100
29,0.03559778845045613,100
30,0.0420237952615554,100
31,0.039949786638225085,100
32,0.041655889193001595,100
33,0.05432249029362223,50
34,0.025695241660635696,100
35,0.038085416947338746,100
36,0.04223312509938277,100
37,0.027119810456261582,100
38,0.03197469808057285,100
39,0.042593967620352245,100
40,0.039966829576914824,100
41,0.026283953678168426,100
42,0.03471855697332977,100
43,0.04182180213774337,100
44,0.0492855412713738,50
45,0.03286634545102196,100
46,0.038987508582808715,100
47,0.02694324727097313,100
48,0.039949786638225085,100
49,0.02185309773349803,100
50,0.04087641697396404,100
51,0.03967240248917635,100
52,0.02610194697826888,100
53,0.038987508582808715,100
54,0.03189163470696782,100
55,0.03755149090829751,100
56,0.024751620269509833,100
57,0.033056260920288766,100
58,0.043238062882173786,100
59,0.04328844380830822,100
60,0.028766769319652608,100
61,0.04631026049414139,100
62,0.037232275157205515,100
63,0.040606268276420505,100
64,0.039949786638225085,100
65,0.036310799201107684,100
66,0.0379943009364232,100
67,0.03380949867792123,100
68,0.04359217654422266,100
69,0.045514017548131044,100
70,0.046447911863377524,100
71,0.032290437718992024,100
72,0.039949786638225085,100
73,0.02772624959898791,100
74,0.04314962103420467,100
75,0.045514017548131044,100
76,0.02340798028605026,100
77,0.04184278798874973,100
78,0.03491189034928911,100
79,0.03030485833596462,100
80,0.04414163638391336,100
81,0.04622235622306126,100
82,0.04069747084950869,100
83,0.031428697264300406,100
84,0.023681780714201843,100
85,0.04001432618883195,100
86,0.04251542558139002,100
87,0.03635482333806238,100
88,0.03033152850405899,100
